some,random,information,that,we,do,not,need,or,what
2015-08-31,0.15412,0.00827,-0.04355,-0.052,0.22607,0.05997,-0.06767,-0.09518,0.01626
2015-09-30,0.16796,0.01492,-0.04681,-0.03633,0.22693,0.04958,-0.06739,-0.09932,0.01452
2015-10-30,0.15396,0.01911,-0.03785,-0.02636,0.22342,0.0508,-0.06515,-0.09134,0.01748
2015-11-30,0.16993,0.00375,-0.1113,-0.12922,0.23246,0.0433,-0.13574,-0.26886,-0.01727
2015-12-31,0.15191,-0.0072,-0.07557,-0.06744,0.21056,0.03197,-0.0909,-0.13296,-0.00882
2016-01-29,0.13725,0.00071,-0.06918,-0.05114,0.1748,0.03162,-0.08622,-0.11327,-0.00282
2016-02-29,0.15044,-0.0,-0.09671,-0.11213,0.19584,0.02214,-0.12571,-0.16278,-0.0122
2016-03-31,0.13623,-0.00387,-0.08685,-0.09498,0.16,0.0133,-0.10552,-0.13375,-0.00904
2016-04-29,0.12687,-0.0,-0.09022,-0.07012,0.16603,0.01453,-0.10788,-0.1305,-0.00819
2016-05-31,0.1193,0.00229,-0.1139,-0.11801,0.17012,0.00789,-0.13585,-0.15502,-0.02336
2016-06-30,0.11156,-0.01078,-0.11139,-0.09606,0.15879,0.00335,-0.13417,-0.20036,-0.02244
2016-07-29,0.10427,-0.02071,-0.11728,-0.10358,0.14431,-0.00831,-0.14542,-0.17606,-0.04744
2016-08-31,0.07787,-0.01601,-0.13334,-0.14232,0.13379,-0.00683,-0.15357,-0.18744,-0.07785
2016-09-30,0.06968,-0.02511,-0.14663,-0.12796,0.12659,-0.01026,-0.15606,-0.18379,-0.06618
2016-10-31,0.07705,-0.01865,-0.12001,-0.09778,0.11469,-0.00376,-0.13333,-0.14977,-0.05732
2016-11-30,0.08026,-0.0357,-0.18349,-0.20557,0.11293,-0.01833,-0.2172,-0.25065,-0.10879
2016-12-30,0.08229,-0.03804,-0.16462,-0.17961,0.10905,-0.02928,-0.20495,-0.2305,-0.08737
2017-01-31,0.0671,-0.02685,-0.10006,-0.07544,0.08733,-0.02115,-0.11927,-0.13896,-0.04927
2017-02-28,0.07417,-0.02265,-0.14898,-0.13917,0.0996,-0.02537,-0.16891,-0.19091,-0.08354
2017-03-31,0.0544,-0.04275,-0.13407,-0.12212,0.07585,-0.03144,-0.14078,-0.17299,-0.07115
2017-04-28,0.05537,-0.04243,-0.15546,-0.11364,0.07869,-0.03946,-0.16457,-0.20313,-0.08885
2017-05-31,0.04831,-0.05925,-0.16457,-0.14081,0.06483,-0.04976,-0.18161,-0.20899,-0.09988
2017-06-30,0.03959,-0.06162,-0.16751,-0.13742,0.05738,-0.06699,-0.18322,-0.20592,-0.10388
2017-07-31,0.04094,-0.04799,-0.17316,-0.14364,0.06004,-0.07508,-0.18833,-0.20231,-0.11144
2017-08-31,0.03267,-0.03271,-0.16,-0.1423,0.05726,-0.06763,-0.17018,-0.19791,-0.10549
2017-09-29,0.03817,-0.02159,-0.16455,-0.15212,0.06227,-0.06861,-0.17093,-0.20484,-0.10132
2017-10-31,0.0309,-0.02483,-0.16572,-0.13095,0.06279,-0.07311,-0.16976,-0.20386,-0.08807
2017-11-30,0.01652,-0.0559,-0.2246,-0.1916,0.04373,-0.11913,-0.28129,-0.28964,-0.1351
2017-12-29,-0.00385,-0.0471,-0.18867,-0.15102,0.04078,-0.09394,-0.19573,-0.22704,-0.10639
2018-01-31,0.01165,-0.03261,-0.17531,-0.14852,0.03514,-0.08341,-0.18338,-0.20891,-0.10262
2018-02-28,-0.00118,-0.06167,-0.24975,-0.22846,0.03047,-0.11049,-0.25329,-0.29141,-0.15447
2018-03-30,5.0e-5,-0.05586,-0.21339,-0.18776,0.00832,-0.09099,-0.21109,-0.24361,-0.12752
2018-04-30,-0.0071,-0.0632,-0.22821,-0.20684,0.01277,-0.10466,-0.23291,-0.25895,-0.1451
2018-05-31,-0.0181,-0.09023,-0.245,-0.21773,-0.0,-0.12437,-0.24862,-0.28114,-0.16144
2018-06-29,-0.01091,-0.05171,-0.22351,-0.2056,-0.00148,-0.12301,-0.2283,-0.25512,-0.14003
2018-07-31,-0.01456,-0.05762,-0.23898,-0.21266,0.00441,-0.13289,-0.24499,-0.26398,-0.13408
2018-08-31,0.00113,-0.0583,-0.21976,-0.21008,0.00301,-0.11965,-0.23275,-0.25262,-0.12149
2018-09-28,-0.02243,-0.06733,-0.23902,-0.22361,-0.01961,-0.12497,-0.25152,-0.27474,-0.1364
2018-10-31,-0.03542,-0.05332,-0.23781,-0.21839,-0.03215,-0.12489,-0.24692,-0.26977,-0.13218
2018-11-30,-0.05283,-0.09409,-0.31658,-0.3315,-0.04949,-0.15844,-0.33855,-0.36691,-0.19731
2018-12-31,-0.06724,-0.08204,-0.26512,-0.24521,-0.05814,-0.14585,-0.25772,-0.29359,-0.1577
2019-01-31,-0.04871,-0.06474,-0.23554,-0.2169,-0.06486,-0.13234,-0.22053,-0.26342,-0.14281
2019-02-28,-0.05275,-0.07596,-0.25709,-0.24788,-0.06454,-0.13969,-0.24524,-0.29556,-0.16001
2019-03-29,-0.05761,-0.07563,-0.25292,-0.27159,-0.05717,-0.1177,-0.22429,-0.28356,-0.15107
2019-04-30,-0.07844,-0.08106,-0.26566,-0.26135,-0.05996,-0.12671,-0.2533,-0.30075,-0.16938
2019-05-31,-0.0965,-0.07918,-0.26471,-0.25222,-0.06901,-0.11876,-0.23827,-0.30169,-0.16172
2019-06-28,-0.10918,-0.07273,-0.25536,-0.23985,-0.07144,-0.10491,-0.23599,-0.29068,-0.15545
2019-07-31,-0.1105,-0.06246,-0.2525,-0.22877,-0.06816,-0.09364,-0.23712,-0.28323,-0.15261
2019-08-30,-0.09238,-0.04893,-0.23902,-0.22296,-0.08717,-0.07701,-0.20323,-0.27731,-0.13375
2019-09-30,-0.11606,-0.04835,-0.24556,-0.22092,-0.07493,-0.05791,-0.21534,-0.27114,-0.133
2019-10-31,-0.08161,-0.00609,-0.19128,-0.17128,-0.05456,-0.01318,-0.16101,-0.22016,-0.09269
2019-11-29,-0.09119,-0.03614,-0.25118,-0.28421,-0.04984,-0.04453,-0.22235,-0.29161,-0.14446
2019-12-31,-0.07637,-0.0162,-0.1913,-0.17194,-0.04446,-0.014,-0.15127,-0.21606,-0.08979
