,AUD,CAD,EUR,JPY,NZD,NOK,SEK,CHF,GBP
2015-07-31,-4.28516,-3.994,-0.88123,-1.27164,-1.49909,-3.14374,-3.30165,-2.87691,-0.75491
2015-08-31,-3.28079,-2.20068,1.37726,2.20663,-4.42952,-2.99376,1.00963,-0.71144,-1.42037
2015-09-30,-0.79274,-0.75259,-0.42291,1.13305,1.24719,-1.63564,1.10241,-1.12271,-1.49569
2015-10-30,1.76553,2.48787,-1.08554,-0.79014,6.00862,0.85596,-1.2902,-0.97591,1.97223
2015-11-30,1.71829,-1.73094,-4.42638,-2.13887,-2.39079,-2.48675,-2.70241,-4.19281,-2.51468
2015-12-31,0.58123,-4.13217,2.74043,2.34906,4.13434,-1.87079,3.30546,2.41658,-2.10287
2016-01-29,-2.63192,-1.29686,-0.46804,-0.70301,-5.29305,1.44976,-1.77272,-2.43791,-3.76722
2016-02-29,1.11751,3.88749,0.34721,7.20097,2.08711,0.1458,-0.24846,2.76004,-1.75815
2016-03-31,7.86007,4.72767,4.7783,0.31452,5.5071,5.42095,5.81507,3.83543,3.12318
2016-04-29,-0.65769,3.25722,0.41929,4.94724,0.87422,2.73212,0.9436,-0.22222,1.91105
2016-05-31,-4.94978,-4.24279,-2.88812,-3.59317,-3.08556,-3.70231,-4.06369,-3.71656,-0.64982
2016-06-30,2.90222,0.72611,-0.32093,7.97758,5.44862,-0.04947,-1.54366,1.89489,-8.17672
2016-07-29,2.18781,-0.421,0.54545,0.00634,1.42461,-0.64906,-0.84445,0.60013,-0.70301
2016-08-31,-1.01483,-0.63031,-0.51821,-1.02103,0.7415,0.97229,-0.64017,-1.81161,-1.40251
2016-09-30,1.90332,-0.18337,0.76766,1.99763,0.36851,4.35707,-0.05439,1.1667,-0.89417
2016-10-31,-0.4922,-1.96456,-2.60061,-3.75839,-1.49804,-3.1506,-5.18162,-2.15189,-6.0745
2016-11-30,-2.82856,-0.34211,-3.3459,-7.86581,-0.80887,-3.07771,-2.41031,-3.06582,2.2757
2016-12-30,-1.91727,0.22893,-0.75123,-2.50697,-1.5113,-1.11656,1.40204,-0.0246,-1.20807
2017-01-31,4.92587,2.82186,2.29313,3.42056,5.26316,4.58728,3.71099,2.77823,1.72794
2017-02-28,1.34715,-1.58934,-1.77442,0.54082,-1.27089,-1.57155,-3.05421,-1.61965,-1.13766
2017-03-31,-0.70613,-0.71233,0.50365,0.26869,-3.24969,-2.7206,0.70282,-0.14087,0.40227
2017-04-28,-1.91436,-2.50274,1.67868,-0.15789,-1.71362,0.22997,0.68821,0.37872,3.38917
2017-05-31,-0.40009,1.18605,3.10536,0.68581,3.46059,1.67078,1.90478,2.6748,-0.30504
2017-06-30,3.08479,3.9424,1.25904,-1.71823,3.22999,0.49614,2.66416,0.82285,0.51925
2017-07-31,4.12223,3.78633,3.19981,1.54821,2.45566,5.94376,4.08033,-0.95041,1.38814
2017-08-31,-0.61038,-0.30309,0.66442,0.25114,-4.41746,1.48615,1.4638,0.19771,-2.36926
2017-09-29,-1.03804,0.21509,-0.72413,-2.36441,0.99331,-2.33295,-2.67729,-0.87846,4.01113
2017-10-31,-2.24681,-3.00365,-1.6213,-1.08783,-5.17683,-2.77515,-2.66836,-3.12801,-1.12136
2017-11-30,-0.9582,0.03726,2.18375,1.40861,0.23809,-1.37314,0.28378,1.30557,1.84558
2017-12-29,3.04466,2.76388,0.48319,-0.85149,3.68103,1.22907,1.50278,0.47306,-0.2014
2018-01-31,3.52664,2.07931,3.5465,3.04613,4.106,6.45324,4.03578,4.5923,5.01111
2018-02-28,-3.75456,-4.28454,-2.26677,2.14423,-2.37754,-2.75386,-5.37554,-1.84011,-3.20756
2018-03-30,-1.5668,-0.67404,0.5848,0.10484,-0.08725,0.34951,-1.31657,-1.59774,1.65365
2018-04-30,-1.59356,0.51328,-1.96998,-2.99246,-2.32068,-2.08823,-4.41336,-3.49833,-1.93936
2018-05-31,0.23355,-1.23805,-3.60717,0.50983,-0.40596,-2.19773,-1.23464,0.43129,-3.53065
2018-06-29,-2.37062,-1.4763,-0.22088,-2.1273,-3.50602,0.26968,-1.5228,-1.26995,-0.94163
2018-07-31,0.60652,0.9808,-0.01137,-1.2529,0.55239,-0.08494,1.58253,0.04242,-0.78285
2018-08-31,-2.73453,-0.20706,-0.7936,0.73698,-2.53683,-2.70511,-4.06504,2.09803,-1.04757
2018-09-28,0.05084,0.81928,-0.39137,-2.58194,-0.07988,2.57144,2.4964,-1.24283,0.20902
2018-10-31,-2.06865,-1.63868,-2.68343,0.42205,-1.52018,-3.23405,-2.94145,-3.15936,-2.15036
2018-11-30,2.99921,-1.2452,-0.30971,-0.82889,5.15761,-2.42687,0.17646,0.38425,-0.27668
2018-12-31,-3.6466,-2.77859,0.64527,3.1529,-2.42855,-0.80285,2.30649,1.00325,-0.37703
2019-01-31,3.50259,3.91228,0.10971,0.5663,3.37735,2.64771,-2.25726,-0.92632,3.12321
2019-02-28,-2.47366,-0.34548,-0.99328,-2.44862,-1.80823,-1.56838,-2.2033,-0.67356,0.96939
2019-03-29,-0.20642,-1.49332,-1.64825,0.32471,0.0088,-0.89565,-0.72461,-0.26509,-2.19031
2019-04-30,-0.97251,-0.76271,-0.44122,-0.88907,-2.26996,-0.53229,-2.65368,-2.54367,-0.10498
2019-05-31,-1.64094,-0.57623,-0.83355,2.31112,-2.3153,-1.33885,-0.36198,1.00313,-3.48123
2019-06-28,1.18719,3.37325,1.92495,0.52116,2.96643,2.54878,2.33181,2.85333,0.81271
2019-07-31,-1.88636,-0.55972,-2.48086,-1.00677,-1.80471,-3.02015,-3.51105,-1.80101,-3.9406
2019-08-30,-2.35826,-1.23946,-1.34174,2.05558,-4.5045,-3.64717,-2.41027,-0.2274,-0.69068
2019-09-30,0.01139,0.31344,-1.2369,-2.00453,-0.66535,0.14627,-0.46033,-1.04698,1.05127
2019-10-31,2.0315,0.68551,2.08494,-0.24837,2.19595,-1.09474,1.83407,0.78034,4.86734
2019-11-29,-1.9038,-1.05251,-1.36145,-1.45192,0.03896,-0.32151,0.48735,-1.47796,-0.13125
2019-12-31,3.83199,2.39213,1.5525,0.48236,5.04967,4.75914,2.02798,2.90081,2.26808
